address,price,floor,area,year_built,rooms,elevator,parking,warehouse,district_code,price_per_sqm,building_age,area_level,area_bin,area_x_rooms,elevator_high_floor,area_bin_encoded,area_level_encoded,area_level_num,area_bin_num
یوسف‌آباد,17500000000.0,2,100,1401,2,1,1,1,236,175000000.0,3,Luxury,50-100,200,0,3,1,3,2
سازمان آب,16850000000.0,2,115,1401,3,1,1,1,108,146521739.1,3,Medium,100-150,345,0,0,2,2,3
حکیمیه,7890000000.0,6,87,1402,2,1,1,1,66,90689655.17,2,Medium,50-100,174,1,3,2,2,2
جنت‌آباد شمالی,5350000000.0,3,45,1390,1,0,1,1,56,118888888.9,14,Medium,<50,45,0,4,2,2,1
هاشمی,7100000000.0,3,104,1403,2,1,1,1,203,68269230.77,1,Medium,100-150,208,0,0,2,2,3
شهر زیبا,1420000000.0,3,43,1392,1,1,1,1,134,33023255.81,12,Low,<50,43,0,4,0,1,1
هاشمی,6120000000.0,5,86,1403,2,1,1,1,203,71162790.7,1,Medium,50-100,172,1,3,2,2,2
سازمان آب,9870000000.0,5,84,1403,2,1,1,1,108,117500000.0,1,Medium,50-100,168,1,3,2,2,2
سازمان برنامه,9500000000.0,4,78,1388,2,1,1,1,109,121794871.8,16,Medium,50-100,156,1,3,2,2,2
حکمت,15300000000.0,2,88,1386,2,1,1,1,65,173863636.4,18,Luxury,50-100,176,0,3,1,3,2
سلیمانی,3320000000.0,3,60,1394,1,1,1,1,118,55333333.33,10,Low,50-100,60,0,3,0,1,2
سازمان آب,17385000000.0,5,126,1401,3,1,1,1,108,137976190.5,3,Medium,100-150,378,1,0,2,2,3
پاسداران,18850000000.0,4,130,1401,2,1,1,1,213,145000000.0,3,Medium,100-150,260,1,0,2,2,3
یوسف‌آباد,13300000000.0,3,126,1383,3,0,1,1,236,105555555.6,21,Medium,100-150,378,0,0,2,2,3
پاتریس لومومبا,14100000000.0,5,105,1403,2,1,1,1,212,134285714.3,1,Medium,100-150,210,1,0,2,2,3
میرداماد,35000000000.0,1,163,1400,3,1,1,1,192,214723926.4,4,Luxury,150-200,489,0,1,1,3,4
شهرک انصار,3290000000.0,12,70,1403,2,1,1,1,141,47000000.0,1,Low,50-100,140,1,3,0,1,2
سرو آزاد,7493000000.0,14,109,1402,2,1,1,1,113,68743119.27,2,Medium,100-150,218,1,0,2,2,3
شهرک غرب,27500000000.0,4,168,1380,3,1,1,1,147,163690476.2,24,Luxury,150-200,504,1,1,1,3,4
حسین‌آباد,17200000000.0,7,117,1402,2,1,1,1,62,147008547.0,2,Medium,100-150,234,1,0,2,2,3
شهر زیبا,9350000000.0,6,87,1398,2,1,1,1,134,107471264.4,6,Medium,50-100,174,1,3,2,2,2
استاد معین,2300000000.0,3,75,1398,2,1,1,1,14,30666666.67,6,Low,50-100,150,0,3,0,1,2
پاسداران,20160000000.0,3,180,1402,3,1,1,1,213,112000000.0,2,Medium,150-200,540,0,1,2,2,4
سلسبیل,6000000000.0,1,56,1393,1,1,1,1,117,107142857.1,11,Medium,50-100,56,0,3,2,2,2
جی,3000000000.0,4,66,1383,1,0,1,1,60,45454545.45,21,Low,50-100,66,0,3,0,1,2
دردشت,5150000000.0,3,58,1384,2,0,1,1,88,88793103.45,20,Medium,50-100,116,0,3,2,2,2
سازمان آب,10000000000.0,4,100,1398,2,1,1,1,108,100000000.0,6,Medium,50-100,200,1,3,2,2,2
باغ فیض,8950000000.0,4,76,1393,2,1,1,1,35,117763157.9,11,Medium,50-100,152,1,3,2,2,2
جی,3100000000.0,1,47,1390,1,0,1,1,60,65957446.81,14,Medium,<50,47,0,4,2,2,1
قیطریه,31000000000.0,1,140,1400,3,1,1,1,177,221428571.4,4,Luxury,100-150,420,0,0,1,3,3
شهر زیبا,16500000000.0,3,144,1403,3,1,1,1,134,114583333.3,1,Medium,100-150,432,0,0,2,2,3
شهرک ژاندارمری,20000000000.0,5,155,1382,3,1,1,1,152,129032258.1,22,Medium,150-200,465,1,1,2,2,4
سلسبیل,4350000000.0,3,75,1381,2,0,1,1,117,58000000.0,23,Low,50-100,150,0,3,0,1,2
صادقیه,18500000000.0,4,140,1403,3,1,1,1,161,132142857.1,1,Medium,100-150,420,1,0,2,2,3
آبشار تهران,4620000000.0,6,132,1403,2,1,1,1,1,35000000.0,1,Low,100-150,264,1,0,0,1,3
ایوانک,21200000000.0,6,125,1397,3,1,1,1,32,169600000.0,7,Luxury,100-150,375,1,0,1,3,3
شهر‌زیبا,3100000000.0,1,55,1397,1,1,1,1,154,56363636.36,7,Low,50-100,55,0,3,0,1,2
سیدخندان,26000000000.0,3,185,1400,3,1,1,1,123,140540540.5,4,Medium,150-200,555,0,1,2,2,4
چیتگر,1800000000.0,15,120,1403,2,1,1,1,220,15000000.0,1,Low,100-150,240,1,0,0,1,3
شهرک نفت (منطقه ۵),8350000000.0,3,70,1385,2,1,1,1,148,119285714.3,19,Medium,50-100,140,0,3,2,2,2
محمودیه,71250000000.0,6,310,1403,4,1,1,1,182,229838709.7,1,Luxury,200+,1240,1,2,1,3,5
پاسداران,23400000000.0,9,180,1403,3,1,1,1,213,130000000.0,1,Medium,150-200,540,1,1,2,2,4
سعادت‌آباد,120000000000.0,6,300,1402,4,1,1,1,114,400000000.0,2,Luxury,200+,1200,1,2,1,3,5
هفت چنار,2650000000.0,3,46,1388,1,0,1,1,206,57608695.65,16,Low,<50,46,0,4,0,1,1
دریاچه شهدای خلیج فارس,2000000000.0,10,105,1403,2,1,1,1,93,19047619.05,1,Low,100-150,210,1,0,0,1,3
