address,price,floor,area,year_built,rooms,elevator,parking,warehouse,district_code,price_per_sqm,building_age,area_x_rooms,elevator_high_floor,area_level_num,area_bin_num
سیدخندان,13500000000,1,120,1383,3,1,1,1,123,112500000.0,21,360,0,2,3
جنت‌آباد مرکزی,9340000000,2,80,1393,2,1,1,1,57,116750000.0,11,160,0,2,2
نیلوفر,16000000000,5,110,1397,3,1,1,1,202,145454545.5,7,330,1,2,3
سیدخندان,12000000000,4,95,1383,2,1,1,1,123,126315789.5,21,190,1,2,2
فاطمی,10900000000,2,70,1403,2,1,1,1,169,155714285.7,1,140,0,3,2
سازمان برنامه,6190000000,1,50,1388,1,0,1,1,109,123800000.0,16,50,0,2,1
شهرآرا,6220000000,4,74,-1,2,0,1,1,135,84054054.05,1405,148,0,2,2
کوهک,7000000000,7,100,1403,2,1,1,1,227,70000000.0,1,200,1,2,2
جلفا,13800000000,1,101,1399,2,1,1,1,52,136633663.4,5,202,0,2,3
ولنجک,23900000000,2,110,1387,2,1,1,1,210,217272727.3,17,220,0,3,3
دربند,21000000000,2,157,1392,3,1,1,1,87,133757961.8,12,471,0,2,4
هروی,26350000000,2,200,1395,3,1,1,1,204,131750000.0,9,600,0,2,4
جیحون,3100000000,2,44,1383,1,0,1,1,61,70454545.45,21,44,0,2,1
دانشگاه شریف,4800000000,4,42,1400,1,1,1,1,84,114285714.3,4,42,1,2,1
ائمه اطهار,7708000000,1,82,1402,2,1,1,0,7,94000000.0,2,164,0,2,2
امیرآباد,12200000000,3,93,1388,2,1,1,1,26,131182795.7,16,186,0,2,2
ظفر,22000000000,0,200,1375,4,0,1,1,166,110000000.0,29,800,0,2,4
آسمان,16000000000,4,133,1380,3,0,1,1,5,120300751.9,24,399,0,2,3
سپهر,13980000000,2,95,1388,2,1,1,1,122,147157894.7,16,190,0,2,2
دروس,51000000000,4,270,1388,4,1,1,1,90,188888888.9,16,1080,1,3,5
پیروزی,10578000000,4,123,1402,3,1,1,1,218,86000000.0,2,369,1,2,3
شهران جنوبی,7000000000,3,55,1392,1,1,1,1,136,127272727.3,12,55,0,2,2
جنت‌آباد مرکزی,5150000000,3,56,1386,1,0,1,1,57,91964285.71,18,56,0,2,2
اقدسیه,18000000000,2,124,1390,2,1,1,1,18,145161290.3,14,248,0,2,3
هروی,9960000000,3,83,1403,2,1,1,1,204,120000000.0,1,166,0,2,2
جنت‌آباد جنوبی,13700000000,2,96,1403,2,1,1,1,55,142708333.3,1,192,0,2,2
اختیاریه,11800000000,4,55,1402,1,1,1,1,10,214545454.5,2,55,1,3,2
جنت‌آباد جنوبی,13700000000,5,105,1403,2,1,1,1,55,130476190.5,1,210,1,2,3
الهیه,35000000000,5,145,1385,3,1,1,1,20,241379310.3,19,435,1,3,3
اختیاریه,20500000000,2,140,1392,3,1,1,1,10,146428571.4,12,420,0,2,3
شادمهر,12650000000,3,110,1398,3,1,1,1,125,115000000.0,6,330,0,2,3
میرداماد,44000000000,3,202,1402,3,1,1,1,192,217821782.2,2,606,0,3,5
قلهک,10000000000,3,69,1397,2,1,1,1,176,144927536.2,7,138,0,2,2
استاد معین,5400000000,3,49,1403,1,1,1,1,14,110204081.6,1,49,0,2,1
باغ فیض,8900000000,2,94,1388,2,1,1,1,35,94680851.06,16,188,0,2,2
باغ فیض,9100000000,4,93,1383,2,1,1,1,35,97849462.37,21,186,1,2,2
ولنجک,55700000000,6,170,1402,3,1,1,1,210,327647058.8,2,510,1,3,4
باغ فیض,7000000000,4,78,1384,2,1,1,1,35,89743589.74,20,156,1,2,2
جنت‌آباد مرکزی,13600000000,5,109,1403,2,1,1,1,57,124770642.2,1,218,1,2,3
نارمک,5500000000,2,61,1387,2,1,1,1,195,90163934.43,17,122,0,2,2
آذربایجان,3550000000,0,47,1380,1,0,1,1,3,75531914.89,24,47,0,2,1
قیطریه,21000000000,4,110,1397,3,1,1,1,177,190909090.9,7,330,1,3,3
سعادت‌آباد,21600000000,2,127,1385,3,1,1,1,114,170078740.2,19,381,0,3,3
ایوانک,19800000000,5,110,1391,2,1,1,1,32,180000000.0,13,220,1,3,3
خ چهاردهم مرکزی,10500000000,3,80,1392,2,1,1,1,74,131250000.0,12,160,0,2,2
اقدسیه,42000000000,6,140,1403,2,1,1,1,18,300000000.0,1,280,1,3,3
ستارخان,12000000000,1,80,1392,2,1,1,1,111,150000000.0,12,160,0,3,2
جنت‌آباد جنوبی,17250000000,4,139,1389,3,1,1,1,55,124100719.4,15,417,1,2,3
سازمان برنامه,23000000000,4,155,1393,3,1,1,1,109,148387096.8,11,465,1,2,4
نیاوران,25000000000,2,126,1392,2,1,1,1,200,198412698.4,12,252,0,3,3
جمال‌زاده,5800000000,4,50,1404,1,1,1,1,53,116000000.0,0,50,1,2,1
پرستار,14514000000,3,118,1403,2,1,1,1,214,123000000.0,1,236,0,2,3
پونک,12500000000,3,87,1393,2,1,1,1,217,143678160.9,11,174,0,2,2
جردن,31000000000,3,258,1387,3,1,1,1,51,120155038.8,17,774,0,2,5
سعادت‌آباد,28500000000,2,132,1403,3,1,1,1,114,215909090.9,1,396,0,3,3
شیخ هادی,22500000000,0,300,1387,2,0,1,1,158,75000000.0,17,600,0,2,5
زاهد گیلانی,11254500000,5,123,1402,2,1,1,1,100,91500000.0,2,246,1,2,3
هفت حوض,23200000000,1,145,1403,3,1,1,1,205,160000000.0,1,435,0,3,3
جنت‌آباد مرکزی,12200000000,4,100,1390,2,1,1,1,57,122000000.0,14,200,1,2,2
سعادت‌آباد,44000000000,4,165,1390,3,1,1,1,114,266666666.7,14,495,1,3,4
هروی,24550000000,2,153,1392,3,1,1,1,204,160457516.3,12,459,0,3,4
جیحون,4550000000,2,59,1389,1,1,1,1,61,77118644.07,15,59,0,2,2
سهروردی,22650000000,2,132,1395,3,1,1,1,120,171590909.1,9,396,0,3,3
شهرک راه‌آهن,7600000000,15,95,1401,2,1,1,1,142,80000000.0,3,190,1,2,2
جلفا,12250000000,4,98,1388,2,1,1,1,52,125000000.0,16,196,1,2,2
